"commodity_group","year","net_weight","fob_value","importers"
"Sea cucumbers, prepared or preserved","2018","0","1000","Maldives"
"Sea cucumbers, prepared or preserved","2019","","0","Maldives"
"Sea cucumbers, prepared or preserved","2020","","0","Maldives"
"Sea cucumbers, prepared or preserved","2021","","","Maldives"
"Sea cucumbers, prepared or preserved","2022","","","Maldives"
"Sea cucumbers, prepared or preserved","2014","","0","Taiwan"
"Sea cucumbers, prepared or preserved","2015","","0","Taiwan"
"Sea cucumbers, prepared or preserved","2016","","0","Taiwan"
"Sea cucumbers, prepared or preserved","2017","","0","Taiwan"
"Sea cucumbers, prepared or preserved","2018","0","2000","Taiwan"
"Sea cucumbers, prepared or preserved","2019","","0","Taiwan"
"Sea cucumbers, prepared or preserved","2020","","0","Taiwan"
"Sea cucumbers, prepared or preserved","2021","1000","6000","Taiwan"
"Sea cucumbers, prepared or preserved","2022","","","Taiwan"
"Sea cucumbers, prepared or preserved","2014","5000","5000","Vietnam"
"Sea cucumbers, prepared or preserved","2015","126000","373000","Vietnam"
"Sea cucumbers, prepared or preserved","2016","427000","1639000","Vietnam"
"Sea cucumbers, prepared or preserved","2017","282000","1112000","Vietnam"
"Sea cucumbers, prepared or preserved","2018","252000","1092000","Vietnam"
"Sea cucumbers, prepared or preserved","2019","9000","22000","Vietnam"
"Sea cucumbers, prepared or preserved","2020","","0","Vietnam"
"Sea cucumbers, prepared or preserved","2021","","","Vietnam"
"Sea cucumbers, prepared or preserved","2022","","","Vietnam"
"Sea cucumbers, prepared or preserved","2014","","0","Thailand"
"Sea cucumbers, prepared or preserved","2015","","0","Thailand"
"Sea cucumbers, prepared or preserved","2016","","0","Thailand"
"Sea cucumbers, prepared or preserved","2017","","0","Thailand"
"Sea cucumbers, prepared or preserved","2018","0","1000","Thailand"
"Sea cucumbers, prepared or preserved","2019","","0","Thailand"
"Sea cucumbers, prepared or preserved","2020","","0","Thailand"
"Sea cucumbers, prepared or preserved","2021","","","Thailand"
"Sea cucumbers, prepared or preserved","2022","","","Thailand"
