"lokasi_pendaratan","provinsi","kabupaten_kota","pelabuhan","jenis_kapal","jenis_alat_tangkap","wpp","jenis_ikan","tahun","volume_produksi","nilai_produksi","harga_per_kg"
"Non Pelabuhan","KALIMANTAN TIMUR","KOTA BONTANG","","MT_0005","Tombak","WPP-RI-713","TERIPANG","2021","137581","29212500000","212329.46409751"
"Non Pelabuhan","KALIMANTAN TIMUR","BERAU","","PTM","Jala Tebar","WPP-RI-716","TERIPANG","2021","6446","773520000","120000"
"Non Pelabuhan","KALIMANTAN TIMUR","KOTA BONTANG","","PTM","Ladung","WPP-RI-713","TERIPANG","2021","6115","1298375000","212326.24693377"
"Non Pelabuhan","KALIMANTAN TIMUR","KUTAI TIMUR","","PTM","Ladung","WPP-RI-713","TERIPANG","2021","45928","688920000","15000"
"Non Pelabuhan","KALIMANTAN TIMUR","KOTA BONTANG","","KM_0005","Ladung","WPP-RI-713","TERIPANG","2022","6177","1311550000","212327.99093411"
"Non Pelabuhan","KALIMANTAN TIMUR","BERAU","","KM_0005","Penggaruk Berkapal","WPP-RI-716","TERIPANG","2022","108835","13060200000","120000"
"Non Pelabuhan","KALIMANTAN TIMUR","KOTA BONTANG","","KM_0005","Tombak","WPP-RI-713","TERIPANG","2022","120432","25571250000","212329.36428856"
"Non Pelabuhan","KALIMANTAN TIMUR","KOTA BONTANG","","MT_0005","Ladung","WPP-RI-713","TERIPANG","2022","37053","7867450000","212329.63592692"
"Non Pelabuhan","KALIMANTAN TIMUR","KOTA BONTANG","","MT_0005","Tombak","WPP-RI-713","TERIPANG","2022","138960","29505325000","212329.62723086"
"Non Pelabuhan","KALIMANTAN TIMUR","KOTA BONTANG","","PTM","Ladung","WPP-RI-713","TERIPANG","2022","6177","1311550000","212327.99093411"
"Non Pelabuhan","JAWA TIMUR","SUMENEP","","KM_0005_0010","Ladung","WPP-RI-712","TERIPANG","2020","388818","116645000000","299998.97124104"
"Non Pelabuhan","JAWA TIMUR","SUMENEP","","KM_0010_0020","Ladung","WPP-RI-712","TERIPANG","2020","475222","142567000000","300000.84171187"
"Non Pelabuhan","GORONTALO","BOALEMO","","MT_0005","Tombak","WPP-RI-715","TERIPANG","2020","157814","21408720000","135657.92641971"
"Non Pelabuhan","GORONTALO","GORONTALO UTARA","","MT_0005","Tombak","WPP-RI-716","TERIPANG","2020","3841","84502000","22000"
"Pelabuhan","JAWA TIMUR","BANGKALAN","PP. Banyusangkah","KM_0005","Penggaruk Berkapal","WPP-RI-712","TERIPANG","2020","189200","2838000000","15000"
"Non Pelabuhan","JAWA TIMUR","SUMENEP","","KM_0005","Ladung","WPP-RI-712","TERIPANG","2021","698400","209520000000","300000"
"Non Pelabuhan","JAWA TIMUR","BANGKALAN","","MT_0005","Penggaruk Berkapal","WPP-RI-712","TERIPANG","2021","263400","3892800000","14779.043280182"
"Non Pelabuhan","JAWA TIMUR","GRESIK","","MT_0005","Penggaruk Berkapal","WPP-RI-712","TERIPANG","2021","93200","5380902000","57735"
"Non Pelabuhan","GORONTALO","BOALEMO","","MT_0005","Tombak","WPP-RI-715","TERIPANG","2021","216132","26386950000","122087.19671312"
"Non Pelabuhan","GORONTALO","GORONTALO UTARA","","MT_0005","Tombak","WPP-RI-716","TERIPANG","2021","15207","1824840000","120000"
"Non Pelabuhan","JAWA TIMUR","GRESIK","","NTP","Penggaruk Tanpa Kapal","WPP-RI-712","TERIPANG","2021","384000","13631624500","35499.022135417"
"Non Pelabuhan","JAWA TIMUR","GRESIK","","PTM","Pancing Ulur","WPP-RI-712","TERIPANG","2021","200","260000","1300"
"Pelabuhan","GORONTALO","GORONTALO UTARA","PP. Kwandang","MT_0005","Ladung","WPP-RI-716","TERIPANG","2021","580","88661000","152863.79310345"
"Non Pelabuhan","GORONTALO","BOALEMO","","MT_0005","Tombak","WPP-RI-715","TERIPANG","2022","173800","22449200000","129166.858458"
"Non Pelabuhan","GORONTALO","GORONTALO UTARA","","MT_0005","Tombak","WPP-RI-716","TERIPANG","2022","14503","1305270000","90000"
"Non_Pelabuhan","JAWA TIMUR","SUMENEP","","KM_0005","Ladung","WPP-RI-712","TERIPANG","2022","218200","5455000000","25000"
"Non_Pelabuhan","JAWA TIMUR","BANYUWANGI","","KM_0005","Penggaruk Berkapal","WPP-RI-573","TERIPANG","2022","33200","295480000","8900"
"Non_Pelabuhan","JAWA TIMUR","BANGKALAN","","MT_0005","Penggaruk Berkapal","WPP-RI-712","TERIPANG","2022","74800","1188000000","15882.352941176"
"Pelabuhan","GORONTALO","GORONTALO UTARA","PP. Kwandang","MT_0005","Ladung","WPP-RI-716","TERIPANG","2022","133","15755714","118464.01503759"
"Pelabuhan","JAWA TENGAH","PEMALANG","PP. Asem Doyong","KM_0005","Cantrang","WPP-RI-712","TERIPANG","2019","3561","53415000","15000"
"Pelabuhan","JAWA BARAT","CIREBON","PP. Gebang Mekar","MT_0005","Penggaruk Berkapal","WPP-RI-712","TERIPANG","2019","55132","1957186000","35500"
"Pelabuhan","JAWA BARAT","CIREBON","PP. Gebang Mekar","MT_0020_0030","Penggaruk Berkapal","WPP-RI-712","TERIPANG","2019","57","2023500","35500"
"Pelabuhan","JAWA TENGAH","KOTA PEKALONGAN","PP. Pekalongan","KM_0005","Payang","WPP-RI-712","TERIPANG","2020","436","4360000","10000"
"Pelabuhan","JAWA TENGAH","KOTA PEKALONGAN","PP. Pekalongan","KM_0005","Pukat Dorong","WPP-RI-712","TERIPANG","2020","13896","138960000","10000"
"Pelabuhan","JAWA TENGAH","KOTA PEKALONGAN","PP. Pekalongan","KM_0005","Payang","WPP-RI-712","TERIPANG","2021","350","1750000","5000"
"Pelabuhan","JAWA TENGAH","KOTA PEKALONGAN","PP. Pekalongan","KM_0005","Penggaruk Berkapal","WPP-RI-712","TERIPANG","2021","1785","8925000","5000"
"Non Pelabuhan","ACEH","ACEH SINGKIL","","KM_0005","Tombak","WPP-RI-572","TERIPANG","2020","14660","5717400000","390000"
"Non Pelabuhan","ACEH","SIMEULUE","","MT_0005","Panah","WPP-RI-572","TERIPANG","2020","6900","1622500000","235144.92753623"
"Non Pelabuhan","ACEH","SIMEULUE","","MT_0005","Panah","WPP-RI-572","TERIPANG","2021","2000","300000000","150000"
"Pelabuhan","BANTEN","KOTA SERANG","PP. Karangantu","MT_0005","Pukat Hela Dasar Berpapan","WPP-RI-712","TERIPANG","2021","4","20000","5000"
