"lokasi_pendaratan","provinsi","kabupaten_kota","pelabuhan","jenis_kapal","jenis_alat_tangkap","wpp","jenis_ikan","tahun","volume_produksi","nilai_produksi","harga_per_kg"
"Non Pelabuhan","SULAWESI UTARA","KEPULAUAN TALAUD","","NTP","Penggaruk Tanpa Kapal","WPP-RI-716","TERIPANG","2019","5400","69500000","12870.37037037"
"Non Pelabuhan","SULAWESI TENGGARA","KOLAKA","","NTP","Tombak","WPP-RI-713","TERIPANG","2019","7142","2142600000","300000"
"Non Pelabuhan","SULAWESI TENGGARA","BUTON","","NTP","Tombak","WPP-RI-714","TERIPANG","2019","42379","1271370000","30000"
"Non Pelabuhan","SULAWESI TENGGARA","BUTON TENGAH","","NTP","Tombak","WPP-RI-714","TERIPANG","2019","2373","74715000","31485.461441214"
"Non Pelabuhan","SULAWESI TENGGARA","BUTON TENGAH","","PTM","Tombak","WPP-RI-714","TERIPANG","2019","23235","742980000","31976.759199484"
"Non Pelabuhan","SULAWESI TENGGARA","MUNA BARAT","","MT_0005","Penggaruk Tanpa Kapal","WPP-RI-714","TERIPANG","2020","727819","400300000000","549999.38171441"
"Non Pelabuhan","SULAWESI TENGGARA","BUTON TENGAH","","MT_0005","Tombak","WPP-RI-714","TERIPANG","2020","12837","256740000","20000"
"Non Pelabuhan","SULAWESI UTARA","KEPULAUAN TALAUD","","NTP","Penggaruk Tanpa Kapal","WPP-RI-716","TERIPANG","2020","5461","70200000","12854.788500275"
"Non Pelabuhan","SULAWESI TENGGARA","BUTON TENGAH","","NTP","Tombak","WPP-RI-714","TERIPANG","2020","600","12000000","20000"
"Non Pelabuhan","SULAWESI TENGGARA","BUTON TENGAH","","PTM","Tombak","WPP-RI-714","TERIPANG","2020","2358","47160000","20000"
"Non Pelabuhan","SULAWESI TENGGARA","MUNA BARAT","","MT_0005","Penggaruk Berkapal","WPP-RI-714","TERIPANG","2021","71726","38467500000","536311.79767448"
"Non Pelabuhan","SULAWESI TENGGARA","BUTON TENGAH","","MT_0005","Tombak","WPP-RI-714","TERIPANG","2021","1000","30000000","30000"
"Non Pelabuhan","SULAWESI TENGGARA","KONAWE SELATAN","","MT_0005","Tombak","WPP-RI-714","TERIPANG","2021","2454","1122400000","457375.71312143"
"Non Pelabuhan","SULAWESI UTARA","KEPULAUAN TALAUD","","NTP","Penggaruk Tanpa Kapal","WPP-RI-716","TERIPANG","2021","3741","61527300","16446.752205293"
"Non Pelabuhan","SULAWESI TENGGARA","KONAWE KEPULAUAN","","NTP","Tombak","WPP-RI-714","TERIPANG","2021","1629","283710000","174162.0626151"
"Non Pelabuhan","SULAWESI TENGGARA","KONAWE SELATAN","","NTP","Tombak","WPP-RI-714","TERIPANG","2021","121","45500000","376033.05785124"
"Non Pelabuhan","SULAWESI UTARA","KEPULAUAN TALAUD","","NTP","Tombak","WPP-RI-716","TERIPANG","2021","96","1592381","16587.302083333"
"Non Pelabuhan","SULAWESI TENGGARA","KONAWE KEPULAUAN","","PTM","Tombak","WPP-RI-714","TERIPANG","2021","2159","368770000","170805.92867068"
"Non Pelabuhan","SULAWESI TENGGARA","KONAWE SELATAN","","PTM","Tombak","WPP-RI-714","TERIPANG","2021","710","251700000","354507.04225352"
"Non Pelabuhan","SULAWESI TENGGARA","MUNA BARAT","","MT_0005","Penggaruk Tanpa Kapal","WPP-RI-714","TERIPANG","2022","215208","12912480000","60000"
"Non Pelabuhan","SULAWESI TENGGARA","KONAWE SELATAN","","MT_0005","Tombak","WPP-RI-714","TERIPANG","2022","5280","2210700000","418693.18181818"
"Non Pelabuhan","SULAWESI UTARA","KEPULAUAN TALAUD","","NTP","Penggaruk Tanpa Kapal","WPP-RI-716","TERIPANG","2022","3741","61527300","16446.752205293"
"Non Pelabuhan","SULAWESI TENGGARA","KONAWE","","NTP","Tombak","WPP-RI-714","TERIPANG","2022","4720","472000000","100000"
"Non Pelabuhan","SULAWESI TENGGARA","KONAWE KEPULAUAN","","NTP","Tombak","WPP-RI-714","TERIPANG","2022","1940","77600000","40000"
"Non Pelabuhan","SULAWESI TENGGARA","KONAWE SELATAN","","NTP","Tombak","WPP-RI-714","TERIPANG","2022","1981","659975000","333152.44825846"
"Non Pelabuhan","SULAWESI UTARA","KEPULAUAN TALAUD","","NTP","Tombak","WPP-RI-716","TERIPANG","2022","96","1592381","16587.302083333"
"Non Pelabuhan","SULAWESI TENGGARA","KONAWE KEPULAUAN","","PTM","Tombak","WPP-RI-714","TERIPANG","2022","1259","50360000","40000"
"Non Pelabuhan","SULAWESI TENGGARA","KONAWE SELATAN","","PTM","Tombak","WPP-RI-714","TERIPANG","2022","2480","857850000","345907.25806452"
"Non Pelabuhan","SULAWESI SELATAN","WAJO","","KM_0005","Bagan Berperahu","WPP-RI-713","TERIPANG","2020","3200","256000000","80000"
"Non Pelabuhan","SULAWESI SELATAN","WAJO","","KM_0005","Bubu","WPP-RI-713","TERIPANG","2020","18200","1456000000","80000"
"Non Pelabuhan","SULAWESI SELATAN","KEPULAUAN SELAYAR","","KM_0005","Ladung","WPP-RI-713","TERIPANG","2020","60000","4374778878","72912.9813"
"Non Pelabuhan","SULAWESI SELATAN","SINJAI","","KM_0005","Penggaruk Berkapal","WPP-RI-713","TERIPANG","2020","10100","602500000","59653.465346535"
"Non Pelabuhan","SULAWESI SELATAN","WAJO","","KM_0005_0010","Bagan Berperahu","WPP-RI-713","TERIPANG","2020","6600","528000000","80000"
"Non Pelabuhan","SULAWESI SELATAN","KEPULAUAN SELAYAR","","KM_0005_0010","Ladung","WPP-RI-713","TERIPANG","2020","2200","160137664","72789.847272727"
"Non Pelabuhan","SULAWESI BARAT","MAJENE","","KM_0005_0010","Tombak","WPP-RI-713","TERIPANG","2020","138966","34741500000","250000"
"Non Pelabuhan","SULAWESI SELATAN","TAKALAR","","KM_0010_0020","Pancing Ulur","WPP-RI-713","TERIPANG","2020","72561","5442075000","75000"
"Non Pelabuhan","SULAWESI SELATAN","TAKALAR","","KM_0020_0030","Pukat Cincin Pelagis Besar Dengan Satu Kapal","WPP-RI-713","TERIPANG","2020","9322","699150000","75000"
"Non Pelabuhan","SULAWESI SELATAN","TAKALAR","","MT_0005","Bagan Tancap","WPP-RI-713","TERIPANG","2020","718","53850000","75000"
"Non Pelabuhan","SULAWESI SELATAN","TAKALAR","","MT_0005","Bubu","WPP-RI-713","TERIPANG","2020","9177","688275000","75000"
"Non Pelabuhan","SULAWESI TENGAH","BANGGAI KEPULAUAN","","MT_0005","Bubu","WPP-RI-713","TERIPANG","2020","3300","112200000","34000"
"Non Pelabuhan","SULAWESI TENGAH","BANGGAI KEPULAUAN","","MT_0005","Bubu","WPP-RI-714","TERIPANG","2020","7600","258400000","34000"
"Non Pelabuhan","SULAWESI SELATAN","KEPULAUAN SELAYAR","","MT_0005","Ladung","WPP-RI-713","TERIPANG","2020","4000","290103957","72525.98925"
"Non Pelabuhan","SULAWESI TENGAH","BANGGAI KEPULAUAN","","MT_0005","Panah","WPP-RI-714","TERIPANG","2020","1000","34000000","34000"
"Non Pelabuhan","SULAWESI SELATAN","TAKALAR","","MT_0005","Rawai Dasar","WPP-RI-713","TERIPANG","2020","14677","1100775000","75000"
"Non Pelabuhan","SULAWESI TENGAH","TOJO UNA UNA","","MT_0005","Tombak","WPP-RI-715","TERIPANG","2020","2500","55000000","22000"
"Non Pelabuhan","SULAWESI TENGAH","POSO","","PTM","Tombak","WPP-RI-715","TERIPANG","2020","83200","2371200000","28500"
"Non Pelabuhan","SULAWESI SELATAN","WAJO","","KM_0005","Bagan Berperahu","WPP-RI-713","TERIPANG","2021","3300","264000000","80000"
"Non Pelabuhan","SULAWESI SELATAN","WAJO","","KM_0005","Bubu","WPP-RI-713","TERIPANG","2021","3600","288000000","80000"
"Non Pelabuhan","SULAWESI SELATAN","KEPULAUAN SELAYAR","","KM_0005","Ladung","WPP-RI-713","TERIPANG","2021","75900","5744965742","75691.248247694"
"Non Pelabuhan","SULAWESI SELATAN","SINJAI","","KM_0005","Penggaruk Berkapal","WPP-RI-713","TERIPANG","2021","6000","510000000","85000"
"Non Pelabuhan","SULAWESI SELATAN","WAJO","","KM_0005_0010","Bagan Berperahu","WPP-RI-713","TERIPANG","2021","11400","912000000","80000"
"Non Pelabuhan","SULAWESI BARAT","MAJENE","","KM_0005_0010","Ladung","WPP-RI-713","TERIPANG","2021","55284","13821000000","250000"
"Non Pelabuhan","SULAWESI SELATAN","KOTA MAKASSAR","","KM_0005_0010","Penggaruk Berkapal","WPP-RI-713","TERIPANG","2021","88400","11492000000","130000"
"Non Pelabuhan","SULAWESI BARAT","MAJENE","","KM_0005_0010","Tombak","WPP-RI-713","TERIPANG","2021","87483","21870750000","250000"
"Non Pelabuhan","SULAWESI SELATAN","TAKALAR","","KM_0010_0020","Pancing Ulur","WPP-RI-713","TERIPANG","2021","74210","4823650000","65000"
"Non Pelabuhan","SULAWESI SELATAN","TAKALAR","","KM_0020_0030","Pukat Cincin Pelagis Besar Dengan Satu Kapal","WPP-RI-713","TERIPANG","2021","9668","628420000","65000"
"Non Pelabuhan","SULAWESI SELATAN","TAKALAR","","MT_0005","Bagan Tancap","WPP-RI-713","TERIPANG","2021","752","48880000","65000"
"Non Pelabuhan","SULAWESI SELATAN","TAKALAR","","MT_0005","Bubu","WPP-RI-713","TERIPANG","2021","9291","603915000","65000"
"Non Pelabuhan","SULAWESI SELATAN","KEPULAUAN SELAYAR","","MT_0005","Ladung","WPP-RI-713","TERIPANG","2021","4200","317600857","75619.251666667"
"Non Pelabuhan","SULAWESI TENGAH","BANGGAI KEPULAUAN","","MT_0005","Panah","WPP-RI-714","TERIPANG","2021","4300","172000000","40000"
"Non Pelabuhan","SULAWESI SELATAN","TAKALAR","","MT_0005","Pancing Ulur","WPP-RI-713","TERIPANG","2021","169111","10992215000","65000"
"Non Pelabuhan","SULAWESI TENGAH","TOJO UNA UNA","","MT_0005","Pancing Ulur","WPP-RI-715","TERIPANG","2021","95","19000000","200000"
"Non Pelabuhan","SULAWESI SELATAN","PANGKAJENE KEPULAUAN","","MT_0005","Penggaruk Berkapal","WPP-RI-713","TERIPANG","2021","15200","614916639","40455.042039474"
"Non Pelabuhan","SULAWESI SELATAN","TAKALAR","","MT_0005","Rawai Dasar","WPP-RI-713","TERIPANG","2021","15148","984620000","65000"
"Non Pelabuhan","SULAWESI TENGAH","TOJO UNA UNA","","MT_0005","Tombak","WPP-RI-715","TERIPANG","2021","321","64200000","200000"
"Non Pelabuhan","SULAWESI TENGAH","POSO","","PTM","Bubu","WPP-RI-715","TERIPANG","2021","300","9900000","33000"
"Non Pelabuhan","SULAWESI TENGAH","POSO","","PTM","Tombak","WPP-RI-715","TERIPANG","2021","78500","4908900000","62533.757961783"
"Non Pelabuhan","SULAWESI SELATAN","WAJO","","KM_0005","Bagan Berperahu","WPP-RI-713","TERIPANG","2022","3700","296000000","80000"
"Non Pelabuhan","SULAWESI SELATAN","KEPULAUAN SELAYAR","","KM_0005","Ladung","WPP-RI-713","TERIPANG","2022","69200","4300907580","62151.843641618"
"Non Pelabuhan","SULAWESI SELATAN","WAJO","","KM_0005_0010","Bagan Berperahu","WPP-RI-713","TERIPANG","2022","6100","488000000","80000"
"Non Pelabuhan","SULAWESI SELATAN","KOTA MAKASSAR","","KM_0005_0010","Penggaruk Berkapal","WPP-RI-713","TERIPANG","2022","111100","14443000000","130000"
"Non Pelabuhan","SULAWESI BARAT","MAJENE","","KM_0005_0010","Tombak","WPP-RI-713","TERIPANG","2022","82545","20636250000","250000"
"Non Pelabuhan","SULAWESI SELATAN","TAKALAR","","MT_0005","Bubu","WPP-RI-713","TERIPANG","2022","65400","3707000000","56681.957186544"
"Non Pelabuhan","SULAWESI SELATAN","KEPULAUAN SELAYAR","","MT_0005","Ladung","WPP-RI-713","TERIPANG","2022","3000","180481018","60160.339333333"
"Non Pelabuhan","SULAWESI TENGAH","TOJO UNA UNA","","MT_0005","Pancing Ulur","WPP-RI-715","TERIPANG","2022","95","19000000","200000"
"Non Pelabuhan","SULAWESI SELATAN","PANGKAJENE KEPULAUAN","","MT_0005","Penggaruk Berkapal","WPP-RI-713","TERIPANG","2022","15700","628000000","40000"
"Non Pelabuhan","SULAWESI TENGAH","POSO","","MT_0005","Tombak","WPP-RI-715","TERIPANG","2022","4100","164000000","40000"
"Non Pelabuhan","SULAWESI TENGAH","TOJO UNA UNA","","MT_0005","Tombak","WPP-RI-715","TERIPANG","2022","321","64200000","200000"
"Non Pelabuhan","SULAWESI TENGAH","POSO","","PTM","Tombak","WPP-RI-715","TERIPANG","2022","26100","1044000000","40000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","KM_0005","Ladung","WPP-RI-718","TERIPANG","2020","5382","1614600000","300000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","KM_0005_0010","Penggaruk Berkapal","WPP-RI-718","TERIPANG","2020","3372","1011600000","300000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","KM_0005_0010","Penggaruk Tanpa Kapal","WPP-RI-718","TERIPANG","2020","3976","1192800000","300000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","KM_0010_0020","Penggaruk Berkapal","WPP-RI-718","TERIPANG","2020","16153","4160900000","257593.01677707"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","KM_0010_0020","Penggaruk Tanpa Kapal","WPP-RI-718","TERIPANG","2020","9271","2078700000","224215.29500593"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","KM_0020_0030","Penggaruk Tanpa Kapal","WPP-RI-718","TERIPANG","2020","1969","196900000","100000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","KM_0030_0050","Penggaruk Berkapal","WPP-RI-718","TERIPANG","2020","35651","3565100000","100000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","KM_0030_0050","Penggaruk Tanpa Kapal","WPP-RI-718","TERIPANG","2020","24570","2457000000","100000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","MT_0005","Ladung","WPP-RI-718","TERIPANG","2020","10904","3271200000","300000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","MT_0005","Penggaruk Berkapal","WPP-RI-718","TERIPANG","2020","993","99300000","100000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","MT_0005","Penggaruk Tanpa Kapal","WPP-RI-718","TERIPANG","2020","912","91200000","100000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","MT_0005_0010","Penggaruk Berkapal","WPP-RI-718","TERIPANG","2020","688","68800000","100000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","MT_0005_0010","Penggaruk Tanpa Kapal","WPP-RI-718","TERIPANG","2020","2328","232800000","100000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","MT_0010_0020","Penggaruk Berkapal","WPP-RI-718","TERIPANG","2020","3940","394000000","100000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","MT_0010_0020","Penggaruk Tanpa Kapal","WPP-RI-718","TERIPANG","2020","4072","407200000","100000"
"Non Pelabuhan","MALUKU","BURU","","NTP","Seser","WPP-RI-714","TERIPANG","2020","2620","101550000","38759.541984733"
"Non Pelabuhan","MALUKU","KAB MALUKU TENGGARA BARAT","","NTP","Tombak","WPP-RI-714","TERIPANG","2020","44560","7908750000","177485.41292639"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","PTM","Penggaruk Tanpa Kapal","WPP-RI-718","TERIPANG","2020","1447","144700000","100000"
"Non Pelabuhan","MALUKU","KAB MALUKU TENGGARA BARAT","","PTM","Tombak","WPP-RI-714","TERIPANG","2020","13995","5546250000","396302.25080386"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","KM_0005","Ladung","WPP-RI-718","TERIPANG","2021","17854","5065000000","283689.92942758"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","KM_0005_0010","Penggaruk Berkapal","WPP-RI-718","TERIPANG","2021","32740","11023300000","336692.11973122"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","KM_0020_0030","Penggaruk Berkapal","WPP-RI-718","TERIPANG","2021","59543","17576150000","295184.15262919"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","KM_0030_0050","Ladung","WPP-RI-718","TERIPANG","2021","20985","5246250000","250000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","KM_0050_0100","Penggaruk Tanpa Kapal","WPP-RI-718","TERIPANG","2021","30966","12386400000","400000"
"Non Pelabuhan","MALUKU","SERAM BAGIAN BARAT","","MT_0005","Ladung","WPP-RI-714","TERIPANG","2021","50040","750600000","15000"
"Non Pelabuhan","MALUKU","BURU","","MT_0005","Panah","WPP-RI-715","TERIPANG","2021","665","83250000","125187.96992481"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","MT_0005","Penggaruk Berkapal","WPP-RI-718","TERIPANG","2021","26850","8769900000","326625.69832402"
"Non Pelabuhan","MALUKU","BURU","","MT_0005","Seser","WPP-RI-714","TERIPANG","2021","5680","665450000","117156.69014085"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","MT_0010_0020","Ladung","WPP-RI-718","TERIPANG","2021","13788","3447000000","250000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","MT_0010_0020","Penggaruk Berkapal","WPP-RI-718","TERIPANG","2021","58555","23422000000","400000"
"Non Pelabuhan","MALUKU","BURU","","NTP","Panah","WPP-RI-715","TERIPANG","2021","455","55450000","121868.13186813"
"Non Pelabuhan","MALUKU","KAB MALUKU TENGGARA BARAT","","NTP","Penggaruk Tanpa Kapal","WPP-RI-714","TERIPANG","2021","9340","3735000000","399892.93361884"
"Non Pelabuhan","MALUKU","KAB MALUKU TENGGARA BARAT","","NTP","Penggaruk Tanpa Kapal","WPP-RI-718","TERIPANG","2021","12650","4895000000","386956.52173913"
"Non Pelabuhan","MALUKU","BURU","","NTP","Seser","WPP-RI-714","TERIPANG","2021","7880","699850000","88813.45177665"
"Non Pelabuhan","MALUKU","KAB MALUKU TENGGARA BARAT","","NTP","Tombak","WPP-RI-718","TERIPANG","2021","31000","10825000000","349193.5483871"
"Non Pelabuhan","MALUKU","BURU","","PTM","Panah","WPP-RI-715","TERIPANG","2021","530","62900000","118679.24528302"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","PTM","Penggaruk Berkapal","WPP-RI-718","TERIPANG","2021","137805","42087000000","305409.8182214"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","KM_0005","Ladung","WPP-RI-718","TERIPANG","2022","9846","2461500000","250000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","KM_0005","Panah","WPP-RI-718","TERIPANG","2022","2236","335400000","150000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","KM_0010_0020","Penggaruk Berkapal","WPP-RI-718","TERIPANG","2022","32068","8017000000","250000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","KM_0020_0030","Penggaruk Berkapal","WPP-RI-718","TERIPANG","2022","28976","7244000000","250000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","KM_0030_0050","Ladung","WPP-RI-718","TERIPANG","2022","59207","13227750000","223415.30562265"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","KM_0030_0050","Penggaruk Berkapal","WPP-RI-718","TERIPANG","2022","58039","14509750000","250000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","KM_0030_0050","Penggaruk Tanpa Kapal","WPP-RI-718","TERIPANG","2022","63867","15966750000","250000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","KM_0050_0100","Penggaruk Berkapal","WPP-RI-718","TERIPANG","2022","49282","12320500000","250000"
"Non Pelabuhan","MALUKU","SERAM BAGIAN BARAT","","MT_0005","Ladung","WPP-RI-714","TERIPANG","2022","270450","2704500000","10000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","MT_0005","Ladung","WPP-RI-718","TERIPANG","2022","101155","24054350000","237796.94528199"
"Non Pelabuhan","MALUKU","BURU","","MT_0005","Panah","WPP-RI-714","TERIPANG","2022","382","44400000","116230.36649215"
"Non Pelabuhan","MALUKU","BURU","","MT_0005","Panah","WPP-RI-715","TERIPANG","2022","1840","246600000","134021.73913043"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","MT_0005","Penggaruk Tanpa Kapal","WPP-RI-718","TERIPANG","2022","45471","11367750000","250000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","MT_0005_0010","Ladung","WPP-RI-718","TERIPANG","2022","6009","901350000","150000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","MT_0005_0010","Penggaruk Berkapal","WPP-RI-718","TERIPANG","2022","27050","6762500000","250000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","MT_0010_0020","Bagan Berperahu","WPP-RI-718","TERIPANG","2022","6316","947400000","150000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","MT_0010_0020","Penggaruk Berkapal","WPP-RI-718","TERIPANG","2022","15948","3987000000","250000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","NTP","Ladung","WPP-RI-718","TERIPANG","2022","2462","369300000","150000"
"Non Pelabuhan","MALUKU","BURU","","NTP","Panah","WPP-RI-714","TERIPANG","2022","350","50400000","144000"
"Non Pelabuhan","MALUKU","BURU","","NTP","Panah","WPP-RI-715","TERIPANG","2022","650","86500000","133076.92307692"
"Non Pelabuhan","MALUKU","KAB MALUKU TENGGARA BARAT","","NTP","Penggaruk Tanpa Kapal","WPP-RI-714","TERIPANG","2022","10100","5130000000","507920.79207921"
"Non Pelabuhan","MALUKU","KAB MALUKU TENGGARA BARAT","","NTP","Penggaruk Tanpa Kapal","WPP-RI-718","TERIPANG","2022","5700","3110000000","545614.03508772"
"Non Pelabuhan","MALUKU","BURU","","PTM","Panah","WPP-RI-714","TERIPANG","2022","2675","314400000","117532.71028037"
"Non Pelabuhan","MALUKU","BURU","","PTM","Panah","WPP-RI-715","TERIPANG","2022","1100","143300000","130272.72727273"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","PTM","Penggaruk Berkapal","WPP-RI-718","TERIPANG","2022","11094","2773500000","250000"
"Non Pelabuhan","MALUKU","MALUKU TENGGARA","","PTM","Penggaruk Tanpa Kapal","WPP-RI-718","TERIPANG","2022","3009","1203600000","400000"
"Non Pelabuhan","NUSA TENGGARA TIMUR","KOTA KUPANG","","KM_0005","Tombak","WPP-RI-573","TERIPANG","2020","860","129000000","150000"
"Non Pelabuhan","NUSA TENGGARA TIMUR","KOTA KUPANG","","KM_0005_0010","Tombak","WPP-RI-573","TERIPANG","2020","620","93000000","150000"
"Non Pelabuhan","NUSA TENGGARA TIMUR","SUMBA TIMUR","","NTP","Tombak","WPP-RI-573","TERIPANG","2020","4328","87107362","20126.469963031"
"Non Pelabuhan","NUSA TENGGARA TIMUR","ROTE NDAO","","PTM","Tombak","WPP-RI-573","TERIPANG","2020","32054","9352300000","291767.01815686"
"Non Pelabuhan","NUSA TENGGARA TIMUR","KOTA KUPANG","","KM_0005","Bubu","WPP-RI-573","TERIPANG","2021","14550","2182500000","150000"
